序号,总场次,日期,提问媒体-类型,提问媒体-规模,同一媒体提问次数,媒体名称
1,564,2022年12月7日,,,,
2,563,2022年12月6日,,,,
3,562,2022年12月5日,,,,
4,561,2022年12月4日,,,,
5,560,2022年12月3日,,,,
6,559,2022年12月2日,,,,
7,558,2022年12月1日,,,,
8,557,2022年11月30日,,,,
9,556,2022年11月29日,,,,
10,555,2022年11月28日,,,,
11,554,2022年11月27日,,,,
12,553,2022年11月26日,,,,
13,552,2022年11月25日,,,,
14,551,2022年11月24日,,,,
15,550,2022年11月23日,,,,
16,549,2022年11月22日,,,,
17,548,2022年11月21日,,,,
18,547,2022年11月20日,,,,
19,546,2022年11月19日,,,,
20,545,2022年11月18日,,,,
21,544,2022年11月17日,,,,
22,543,2022年11月16日,,,,
23,542,2022年11月15日,,,,
24,541,2022年11月14日,,,,
25,540,2022年11月13日,,,,
26,539,2022年11月12日,,,,
27,538,2022年11月11日,,,,
28,537,2022年11月10日,,,,
29,536,2022年11月9日,,,,
30,535,2022年11月8日,,,,
31,534,2022年11月7日,,,,
32,533,2022年11月6日,,,,
33,532,2022年11月5日,,,,
34,531,2022年11月4日,,,,
35,530,2022年11月3日,,,,
36,529,2022年11月2日,,,,
37,528,2022年11月1日,,,,
38,527,2022年10月31日,,,,
39,526,2022年10月30日,,,,
40,525,2022年10月29日,,,,
41,524,2022年10月28日,,,,
42,523,2022年10月27日,,,,
43,522,2022年10月26日,,,,
44,521,2022年10月25日,,,,
45,520,2022年9月27日,,,,
46,519,2022年9月4日,,,,
47,518,2022年9月2日,,,,
48,517,2022年9月1日,,,,
49,516,2022年8月31日,,,,
50,515,2022年8月24日,,,,
51,514,2022年7月13日,,,,
52,513,2022年7月12日,,,,
53,512,2022年7月11日,,,,
54,511,2022年7月10日,,,,
55,510,2022年7月9日,,,,
56,509,2022年5月9日,,,,
57,508,2022年5月5日,,,,
58,507,2022年5月3日,,,,
59,506,2022年5月2日,广播电视台,市级,1,广州广播电视台
59,506,2022年5月2日,报社,省级,1,南方都市报
60,505,2022年5月1日,广播电视台,国家级,1,中央广播电视总台
60,505,2022年5月1日,广播电视台,市级,1,广州广播电视台
61,504,2022年4月30日,广播电视台,国家级,1,中央广播电视总台
61,504,2022年4月30日,报社,省级,1,广州日报
61,504,2022年4月30日,广播电视台,省级,1,广东广播电视台
62,503,2022年4月29日,,,,
63,502,2022年4月28日,,,,
64,501,2022年4月26日,,,,
65,500,2022年4月22日,报社,省级,1,广州日报
66,499,2022年4月20日,,,,
67,498,2022年4月18日,,,,
68,497,2022年4月17日,,,,
69,496,2022年4月16日,,,,
70,495,2022年4月15日,,,,
71,494,2022年4月14日,,,,
72,493,2022年4月13日,,,,
73,492,2022年4月12日,,,,
74,491,2022年4月11日,,,,
75,490,2022年4月10日,,,,
76,489,2022年4月9日,,,,
77,488,2022年4月8日,,,,
78,487,2022年4月7日,,,,
79,486,2022年3月16日,,,,
80,485,2022年3月12日,,,,
81,484,2022年3月11日,,,,
82,483,2022年3月10日,,,,
83,482,2022年3月9日,,,,
84,481,2022年2月17日,,,,
85,480,2022年2月16日,,,,
86,479,2022年2月15日,,,,
87,,2022年1月25日,,,,
88,478,2021年12月17日,,,,
89,477,2021年12月16日,广播电视台,国家级,1,中央广播电视总台
89,477,2021年12月16日,报社,省级,1,南方都市报
90,,2021年12月14日,,,,
91,,2021年12月4日,,,,
92,,2021年10月12日,,,,
93,,2021年9月8日,,,,
94,,2021年9月7日,,,,
95,,2021年9月6日,,,,
96,476,2021年9月5日,,,,
97,475,,,,,
98,474,2021年8月13日,,,,
99,473,2021年8月6日,,,,
100,,2021年6月28日,,,,
101,,2021年6月25日,,,,
102,,2021年6月23日,,,,
103,472,2021年6月23日,,,,
104,471,2021年6月22日,广播电视台,省级,1,广东台新闻频道
104,471,2021年6月22日,广播电视台,国家级,1,中央广播电视总台
104,471,2021年6月22日,广播电视台,市级,1,广州广播电视台
105,,2021年6月21日,,,,
106,470,2021年6月20日,广播电视台,市级,1,广州广播电视台
106,470,2021年6月20日,广播电视台,省级,1,广东广播电视台
106,470,2021年6月20日,广播电视台,国家级,1,凤凰卫视
106,470,2021年6月20日,广播电视台,国家级,1,中央广播电视总台
107,469,2021年6月19日,,,,
108,468,2021年6月18日,,,,
109,467,2021年6月17日,,,,
110,466,2021年6月16日,,,,
111,,2021年6月15日,,,,
112,,2021年6月14日,报社,省级,1,南方日报
112,,2021年6月14日,报社,省级,1,羊城晚报
112,,2021年6月14日,广播电视台,国家级,1,中央广播电视总台
113,465,2021年6月14日,报社,省级,1,南方都市报
113,465,2021年6月14日,广播电视台,国家级,1,凤凰卫视
113,465,2021年6月14日,广播电视台,市级,1,广州广播电视台
114,464,2021年6月13日,,,,
115,,2021年6月12日,广播电视台,省级,1,广东广播电视台
115,,2021年6月12日,报社,省级,1,南方日报
115,,2021年6月12日,广播电视台,国家级,1,中央广播电视总台
115,,2021年6月12日,报社,省级,1,南方都市报
115,,2021年6月12日,广播电视台,市级,1,广州台
116,463,2021年6月11日,广播电视台,市级,1,广州广播电视台
116,463,2021年6月11日,报社,省级,1,南方都市报
116,463,2021年6月11日,广播电视台,省级,1,广东台新闻频道
117,462,2021年6月10日,,,,
118,,2021年6月9日,广播电视台,国家级,1,凤凰卫视
118,,2021年6月9日,广播电视台,省级,1,广东台
119,,2021年6月8日,,,,
